1 | 124 127 134 140 143 317 | 5 | 148 137 403 429 138 114 129 149 119 313 
2 | 117 121 128 146 150 316 332 428 | 3 | 324 310 139 144 119 305 
3 | 116 | 0 | 
4 | 104 105 204 305 405 409 430 | 4 | 121 8 146 150 135 109 319 2 
5 | 328 408 | 9 | 320 329 302 321 428 402 424 407 431 132 123 126 107 112 2 3 4 142 
6 | 9 110 313 319 420 | 6 | 145 310 324 139 304 331 106 118 5 10 13 147 
7 | 120 | 5 | 116 119 151 114 125 132 416 425 428 303 308 307 112 6 403 429 427 135 149 
8 | 1 324 422 423 | 7 | 321 3 103 405 430 306 2 104 14 323 407 118 320 415 11 105 328 108 132 102 
9 | 101 139 205 206 325 406 424 | 4 | 122 131 151 141 427 506 502 503 504 
10 | 108 148 149 303 401 403 427 429 | 3 | 129 134 127 137 102 106 
11 | 111 115 203 320 321 | 6 | 136 140 132 142 432 109 428 318 316 147 329 133 
12 | 309 314 315 418 | 6 | 116 103 422 423 425 330 102 107 130 150 3 11 1 5 424 
13 | 2 131 135 144 411 | 5 | 430 12 121 127 146 149 138 405 120 415 
14 | 3 308 311 | 4 | 116 315 314 107 412 130 414 301 103 120 126 433 318 1 125 302 306 141 332 
15 | 4 113 130 142 312 407 | 3 | 112 328 321 320 323 11 
16 | 114 129 137 138 | 7 | 148 149 124 427 127 134 317 108 403 429 401 303 409 143 
17 | 10 426 431 | 8 | 6 4 104 112 105 113 414 428 318 125 152 136 142 141 132 407 
18 | 103 136 318 414 | 4 | 125 426 141 152 431 326 10 6 7 
19 | 301 329 412 433 | 2 | 432 2 135 402 319 328 330 11 505 501 14 130 145 313 
20 | 107 | 9 | 308 126 118 314 3 315 1 103 151 428 102 113 123 425 407 303 328 330 4 
21 | 5 102 106 118 151 | 5 | 425 121 122 111 1 109 404 309 117 9 12 115 
22 | 13 133 147 432 601 602 | 2 | 111 143 115 127 
23 | 307 417 419 425 | 4 | 8 120 151 150 116 415 420 309 305 319 123 135 12 149 
24 | 322 402 | 9 | 129 406 310 325 311 304 101 110 433 422 423 401 327 145 134 131 326 316 
25 | 14 122 123 306 331 404 | 2 | 136 301 320 321 428 132 142 112 104 13 105 313 328 106 108 110 312 
26 | 12 145 302 326 415 | 4 | 129 406 9 10 13 7 106 118 
27 | 125 141 152 | 7 | 126 101 414 401 306 302 327 318 317 402 416 407 114 103 
28 | 6 112 132 201 202 421 | 4 | 7 152 414 125 104 306 328 320 
29 | 119 410 | 6 | 144 139 134 322 325 310 324 331 10 412 106 312 128 148 137 124 409 411 
30 | 11 126 323 330 | 6 | 306 107 420 319 1 114 102 321 150 3 12 105
