1 | 515 | 1 | 458 612 728 727 400 800 423 804 304 
2 | 427 450 500 508 604 | 6 | 311 302 309 432 429 425 443 459 454 423 407 402 
3 | 319 417 444 448 502 518 612 | 4 | 438 433 431 428 458 456 455 447 451 621 711 725 304 307 
4 | 458 609 611 621 | 7 | 455 448 451 404 428 440 450 417 612 724 432 307 459 422 
5 | 306 410 700 710 728 420 512 618 | 3 | 437 413 408 701 704 619 
6 | 402 432 459 503 506 | 6 | 433 452 441 412 455 424 308 438 426 458 400 401 
7 | | 2 | 705 450 455 316 706 617 727 402 426 433 300 
8 | 439 511 | 3 | 602 605 438 426 431 456 
9 | 317 415 425 435 610 620 712 613 | 3 | 306 318 460 410 720 721 723 704 703 305 303 320 
10 | 800 801 802 803 804 | 0 | 
11 | 307 401 422 447 601 715 | 5 | 800 801 802 434 414 457 403 450 455 427 
12 | 407 423 515 606 500 508 | 0 | 
13 | 301 | 0 | 
14 | 607 510 513 | 0 | 
15 | 429 441 707 720 723 | 6 | 444 435 417 710 414 409 413 712 702 709 401 405 
16 | 300 406 419 702 706 726 | 5 | 449 430 453 442 412 318 308 310 608 714 
17 | 443 451 455 725 | 1 | 442 319 454 417 425 452 433 431 448 
18 | | 3 | 402 422 621 605 430 428 
19 | 305 430 453 614 716 717 | 5 | 449 308 318 300 442 719 608 620 406 706 
20 | 428 431 438 456 514 518 | 0 | 
21 | 313 713 721 724 729 505 507 | 1 | 318 317 435 449 439 415 452 461 404 616 608 601 614 726 705 316 
22 | 320 421 460 505 507 618 | 5 | 437 415 720 711 723 704 703 303 449 410 413 710 
23 | 404 517 | 3 | 616 457 400 304 606 431 601 
24 | 311 400 501 510 513 603 | 5 | 427 407 606 604 607 431 450 423 428 610 
25 | 302 440 445 446 509 619 | 5 | 303 437 434 460 457 409 403 413 416 414 704 703 
26 | 409 504 509 718 | 4 | 434 440 403 405 457 429 445 446 441 
27 | 602 617 705 714 722 | 3 | 320 302 728 436 401 406 
28 | 318 411 449 421 716 | 6 | 726 706 702 419 406 440 300 317 305 708 710 713 
29 | 310 433 442 454 600 711 | 5 | 603 441 431 443 417 706 709 803 419 602 
30 | 420 506 516 517 411 503 | 0 | 450 422 
31 | 308 418 426 719 502 511 | 2 | 453 706 724 430 313 
32 | 436 708 715 | 5 | 700 617 319 428 456 418 724 705 711 729 444 
33 | 316 413 414 452 704 727 | 2 | 410 460 609 309 720 706 723 710 701 418 412 402 405 305 409 449 442 433 317 318 310 306 301 303 
34 | 309 462 613 718 | 1 | 432 427 447 
35 | 405 408 416 457 504 615 616 | 4 | 426 462 407 401 610 611 721 729 722 700 
36 | | 11 | 603 607 614 606 604 414 701 707 619 713 724 601 612 727 616 609 620 602 610 714 712 703 
37 | 434 | 1 | 
38 | 437 461 512 701 | 7 | 416 449 415 413 434 410 704 301 462 409 405 403 414 408 
39 | 605 608 501 516 | 4 | 603 612 453 448 426 433 300 316 
40 | 303 703 709 717 | 1 | 410 413 440 320 310 305 
41 | 403 | 2 | 719 302 309 454 
42 | 304 412 424 514 | 1 | 
43 | | 2 | 438 424 428 456
