1 | 103 159 286 | 3 | 102 123 147 300 70 294
2 | 10 92 126 140 178 285 284 183 | 2 | 79 80 88 72 127 136 119 91
3 | | 0 | 
4 | 102 109 | 9 | 80 140 162 147 123 133 101 99 92 88 85 83 79 74 12 10 5 3 127 136 181 91
5 | 9 68 105 168 | 7 | 73 75 70 78 82 151 176 137 173 139 110 134 97 182 107
6 | | 0 | 
7 | | 0 | 
8 | 80 134 145 | 2 | 8 102 108 94 111 99
9 | 100 124 146 | 7 | 117 121 125 293 297 303 180 162 70 77 93 106 114 113 151 187 167 295 296
10 | 5 101 128 | 7 | 71 72 83 85 90 103 112 11 92 118 122 147 158 119 163
11 | 91 | 9 | 74 182 78 76 73 82 86 92 97 137 173 117 139 303 68 135 105 106 80 149
12 | 87 110 115 143 172 304 | 5 | 176 3 95 104 156 81 84 1 148 185 73 78
13 | 81 95 156 184 292 | 6 | 84 152 104 130 176 131 87 99 110 115 172 117
14 | 79 88 99 147 282 | 5 | 84 92 108 118 126 170 140 122 102 97 85 127 136 181 91
15 | 3 152 | 3 | 176 125 121 184 151 81 175 115
16 | 7 86 135 139 | 4 | 82 110 120 98 1 3 75 9 73 78 109 292
17 | 11 90 112 114 158 163 | 5 | 103 300 101 5 128 164 180 83 84 117
18 | 6 74 76 | 8 | 93 109 113 110 153 139 171 1 82 111 157 185 7 75 96 151
19 | 113 281 | 4 | 74 76 6 169 178 293 2 8
20 | 73 78 121 125 175 | 5 | 117 7 86 97 100 133 135 137 148 1 124 146 167 295 296
21 | 130 176 69 | 8 | 115 173 81 104 87 172 143 3 84 82 95 189 120 137 68 7 304
22 | 8 187 189 289 | 7 | 123 3 125 80 92 70 104 147 87 130 83 5 74 85
23 | 70 106 117 120 149 167 180 298 | 3 | 168 190 102 150 151 187 97 83 98 124 146
24 | 84 118 123 131 138 141 | 0 | 
25 | 89 107 164 283 | 7 | 71 175 151 92 90 106 183 178 135 118 294 126 72 182 107
26 | 104 153 157 171 | 2 | 75 134 173 139 9 293 98 118 74 114 169 151 110 109 97 82 77 91
27 | 2 98 151 162 288 299 301 302 | 0 | 
28 | 93 96 111 169 287 | 6 | 6 74 82 89 175 162 139 187 153 137 113 300
29 | 82 173 | 8 | 9 68 76 93 96 103 111 151 153 139 176 164 113 74 81 135
30 | 72 122 150 | 3 | 102 147 85 78 73 79 101 105 189 8 90 118 126 159 183
31 | 1 75 137 148 185 | 6 | 9 139 171 157 2 168 156 3 74 73 95 104 84
32 | 77 94 97 188 13 | 0 |
